report_date,source_file,issue_city,issue_date,protocol_number,subject,amolyvdi_95_product_label,amolyvdi_95_station_count_raw,amolyvdi_95_mean_price_raw,amolyvdi_100_product_label,amolyvdi_100_station_count_raw,amolyvdi_100_mean_price_raw,super_product_label,super_station_count_raw,super_mean_price_raw,diesel_kinisis_product_label,diesel_kinisis_station_count_raw,diesel_kinisis_mean_price_raw,diesel_thermansis_product_label,diesel_thermansis_station_count_raw,diesel_thermansis_mean_price_raw,autogas_product_label,autogas_station_count_raw,autogas_mean_price_raw,footer_note_1,footer_note_2,footer_note_3,footer_note_4,footer_note_5,footer_note_6,footer_note_7,footer_note_8,footer_note_9,footer_note_10,footer_note_11,footer_note_12,footer_note_13,footer_note_14,footer_note_15,footer_note_16,footer_note_17,footer_note_18,footer_note_19,footer_note_20,footer_note_21,footer_note_22
1-1-2018,IMERISIO_DELTIO_PANELLINIO_01_01_2018.pdf,Αθήνα,3-1-2018,377 - 03/01/2018,ΘΕΜΑ: ΚΑΘΗΜΕΡΙΝΟ ΔΕΛΤΙΟ ΕΠΙΣΚΟΠΗΣΗΣ ΤΙΜΩΝ ΥΓΡΩΝ ΚΑΥΣΙΜΩΝ,Αμόλυβδη 95 οκτ.,3.037,"1,538",Αμόλυβδη 100 οκτ.,1.757,"1,734",Super,26,"1,648",Diesel Κίνησης,3.191,"1,308",Diesel Θέρμανσης Κατ΄οίκον,1.082,"0,996",Υγραέριο κίνησης (Autogas),591,"0,836",Η μέση τιμή πανελλαδικά υπολογίζεται σύμφωνα με τον σταθμισμένο μέσο όρο με βάση τους όγκους πωλήσεων ανά τύπο καυσίμου ανά νομό.,Δεν καταγράφεται κατανάλωση στο πετρέλαιο θέρμανσης για τη χρονική περίοδο 30/4 έως 15/10 κάθε έτους.,Ο Φ.Π.Α. από 01-06-2016 ανέρχεται στο 24%,Ο ΕΦΚ στο πετρέλαιο θέρμανσης από 15/10/2016 έως 30-04-2017 ανέρχεται σε 280 € το χιλιόλιτρο,"Ο ΕΦΚ σε βενζίνες και Πετρέλαια διαμορφώνεται σε 700, 410 €/1000 λτ, αντίστοιχα από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94)","Ο ΕΦΚ στο Υγραέριο διαμορφώνεται σε 430 €/1000 κγρ, από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94)",,,,,,,,,,,,,,,,
1-1-2019,IMERISIO_DELTIO_PANELLINIO_01_01_2019.pdf,Αθήνα,2-1-2019,23 - 02/01/2019,ΘΕΜΑ: ΚΑΘΗΜΕΡΙΝΟ ΔΕΛΤΙΟ ΕΠΙΣΚΟΠΗΣΗΣ ΤΙΜΩΝ ΥΓΡΩΝ ΚΑΥΣΙΜΩΝ,Αμόλυβδη 95 οκτ.,3.752,"1,483",Αμόλυβδη 100 οκτ.,2.083,"1,723",Super,26,"1,731",Diesel Κίνησης,3.965,"1,340",Diesel Θέρμανσης Κατ΄οίκον,1.307,"1,010",Υγραέριο κίνησης (Autogas),804,"0,779",Η μέση τιμή πανελλαδικά σταθμίζεται με βάση τους όγκους πωλήσεων έτους 2017 ανά τύπο καυσίμου και ανά νομό.,Δεν καταγράφεται κατανάλωση στο πετρέλαιο θέρμανσης για τη χρονική περίοδο 30/4 έως 15/10 κάθε έτους.,Ο Φ.Π.Α. από 01-06-2016 ανέρχεται στο 24%,Ο ΕΦΚ στο πετρέλαιο θέρμανσης από 15/10/2016 ανέρχεται σε 280 € το χιλιόλιτρο,"Ο ΕΦΚ σε βενζίνες και Πετρέλαια διαμορφώνεται σε 700, 410 €/1000 λτ, αντίστοιχα από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94)","Ο ΕΦΚ στο Υγραέριο διαμορφώνεται σε 430 €/1000 κγρ, από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94)",,,,,,,,,,,,,,,,
1-1-2020,IMERISIO_DELTIO_PANELLINIO_01_01_2020.pdf,Αθήνα,2-1-2020,62,ΘΕΜΑ: ΚΑΘΗΜΕΡΙΝΟ ΔΕΛΣΙΟ ΕΠΙ΢ΚΟΠΗ΢Η΢ ΣΙΜΩΝ ΤΓΡΩΝ ΚΑΤ΢ΙΜΩΝ,Αμόλσβδη 95 οκη.,3.320,"1,599",Αμόλσβδη 100 οκη.,1.960,"1,821",Super,16,"1,763",Diesel Κίνηζης,3.573,"1,394",Diesel Θέρμανζης Καη΄οίκον,1.229,"1,075",Υγραέριο κίνηζης (Autogas),742,"0,801",Η μζςθ τιμι πανελλαδικά ςτακμίηεται με βάςθ τουσ όγκουσ πωλιςεων ζτουσ 2018 ανά τφπο καυςίμου και ανά νομό.,Δεν καταγράφεται κατανάλωςθ ςτο πετρζλαιο κζρμανςθσ για τθ χρονικι περίοδο 30/4 ζωσ 15/10 κάκε ζτουσ.,Ο Φ.Π.Α. από 01-06-2016 ανζρχεται ςτο 24%,Ο ΕΦΚ ςτο πετρζλαιο κζρμανςθσ από 15/10/2016 ανζρχεται ςε 280 € το χιλιόλιτρο,"Ο ΕΦΚ ςε βενηίνεσ και Πετρζλαια διαμορφώνεται ςε 700, 410 €/1000 λτ, αντίςτοιχα από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94)","Ο ΕΦΚ ςτο Υγραζριο διαμορφώνεται ςε 430 €/1000 κγρ, από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94)",,,,,,,,,,,,,,,,
1-1-2021,IMERISIO_DELTIO_PANELLINIO_01_01_2021.pdf,Αθήνα,4-1-2021,216,ΘΕΜΑ: ΚΑΘΗΜΕΡΙΝΟ ΔΕΛΤΙΟ ΕΠΙΣΚΟΠΗΣΗΣ ΤΙΜΩΝ ΥΓΡΩΝ ΚΑΥΣΙΜΩΝ,Αμόλυβδη 95 οκτ.,3.430,"1,437",Super,13,"1,599",Υγραέριο κίνησης (Autogas),848,"0,764",,,,,,,,,,Η μέση τιμή πανελλαδικά σταθμίζεται με βάση τους όγκους πωλήσεων έτους 2019 ανά τύπο καυσίμου και ανά νομό.,Ο Φ.Π.Α. από 01-06-2016 ανέρχεται στο 24%.,"Ο συντελεστής ΕΦΚ σε βενζίνες και πετρέλαια διαμορφώνεται σε 700 και 410 €/1.000 λτ, αντίστοιχα από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94).","Για το πετρέλαιο θέρμανσης και για χρονική περίοδο από 15/10 κάθε έτους έως και την 30/4 του επομένου έτους, ορίζεται μειωμένος συντελεστής ΕΦΚ ύψους 280 €/1.000 λτ, αρχής γενομένης από 15/10/2016 (Ν. 4389/2016, ΦΕΚ Α' 94). Για το λόγο αυτό δεν καταγράφεται κατανάλωση για το είδος αυτό από 1/5 έως και 14/10 κάθε έτους.","Ο συντελεστής ΕΦΚ στο Υγραέριο διαμορφώνεται σε 430 €/1.000 κγρ, από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94).",,,,,,,,,,,,,,,,,
1-1-2022,IMERISIO_DELTIO_PANELLINIO_01_01_2022.pdf,Αθήνα,4-1-2022,533,ΘΕΜΑ: ΚΑΘΗΜΕΡΙΝΟ ΔΕΛΤΙΟ ΕΠΙΣΚΟΠΗΣΗΣ ΤΙΜΩΝ ΥΓΡΩΝ ΚΑΥΣΙΜΩΝ,Αμόλυβδη 95 οκτ.,3.191,"1,746",Super,8,"1,494",Υγραέριο κίνησης (Autogas),707,"0,994",,,,,,,,,,ΣΗΜΕΙΩΣΗΣ  Η μέση τιμή πανελλαδικά σταθμίζεται με βάση τους όγκους πωλήσεων έτους 2019 ανά,τύπο καυσίμου και ανά νομό.,Ο Φ.Π.Α. από 01-06-2016 ανέρχεται στο 24%.,"Ο συντελεστής ΕΦΚ σε βενζίνες και πετρέλαια διαμορφώνεται σε 700 και 410 €/1.000 λτ, αντίστοιχα από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94).","Για το πετρέλαιο θέρμανσης και για χρονική περίοδο από 15/10 κάθε έτους έως και την 30/4 του επομένου έτους, ορίζεται μειωμένος συντελεστής ΕΦΚ ύψους 280 €/1.000 λτ, αρχής γενομένης από 15/10/2016 (Ν. 4389/2016, ΦΕΚ Α' 94). Για το λόγο αυτό δεν καταγράφεται κατανάλωση για το είδος αυτό από 1/5 έως και 14/10 κάθε έτους.","Ο συντελεστής ΕΦΚ στο Υγραέριο διαμορφώνεται σε 430 €/1.000 κγρ, από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94).",,,,,,,,,,,,,,,,
1-1-2023,IMERISIO_DELTIO_PANELLINIO_01_01_2023.pdf,Αθήνα,3-1-2023,275,ΘΕΜΑ: ΚΑΘΗΜΕΡΙΝΟ ΔΕΛΤΙΟ ΕΠΙΣΚΟΠΗΣΗΣ ΤΙΜΩΝ ΥΓΡΩΝ ΚΑΥΣΙΜΩΝ,Αμόλυβδη 95 οκτ.,4.328,"1,842",Υγραέριο κίνησης (Autogas),1.017,"0,947",,,,,,,,,,,,,Η μέση τιμή πανελλαδικά σταθμίζεται με βάση τους όγκους πωλήσεων έτους 2019 ανά τύπο καυσίμου και ανά νομό.,Ο Φ.Π.Α. από 01-06-2016 ανέρχεται στο 24%.,"Ο συντελεστής ΕΦΚ σε βενζίνες και πετρέλαια διαμορφώνεται σε 700 και 410 €/1.000 λτ, αντίστοιχα από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94).","Για το πετρέλαιο θέρμανσης και για χρονική περίοδο από 15/10 κάθε έτους έως και την 30/4 του επομένου έτους, ορίζεται μειωμένος συντελεστής ΕΦΚ ύψους 280 €/1.000 λτ, αρχής γενομένης από 15/10/2016 (Ν. 4389/2016, ΦΕΚ Α' 94). Για το λόγο αυτό δεν καταγράφεται κατανάλωση για το είδος αυτό από 1/5 έως και 14/10 κάθε έτους.","Ο συντελεστής ΕΦΚ στο Υγραέριο διαμορφώνεται σε 430 €/1.000 κγρ, από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94).",,,,,,,,,,,,,,,,,
1-1-2024,IMERISIO_DELTIO_PANELLINIO_01_01_2024.pdf,Αθήνα,2-1-2024,59,ΘΕΜΑ: ΚΑΘΗΜΕΡΙΝΟ ΔΕΛΤΙΟ ΕΠΙΣΚΟΠΗΣΗΣ ΤΙΜΩΝ ΥΓΡΩΝ ΚΑΥΣΙΜΩΝ,Αμόλυβδη 95 οκτ.,4.006,"1,821",Υγραέριο κίνησης (Autogas),962,"0,885",,,,,,,,,,,,,Η μέση τιμή πανελλαδικά σταθμίζεται με βάση τους όγκους πωλήσεων έτους 2019 ανά τύπο καυσίμου και ανά νομό.,Ο Φ.Π.Α. από 01-06-2016 ανέρχεται στο 24%.,"Ο συντελεστής ΕΦΚ σε βενζίνες και πετρέλαια διαμορφώνεται σε 700 και 410 €/1.000 λτ, αντίστοιχα από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94).","Για το πετρέλαιο θέρμανσης και για χρονική περίοδο από 15/10 κάθε έτους έως και την 30/4 του επομένου έτους, ορίζεται μειωμένος συντελεστής ΕΦΚ ύψους 280 €/1.000 λτ, αρχής γενομένης από 15/10/2016 (Ν. 4389/2016, ΦΕΚ Α' 94). Για το λόγο αυτό δεν καταγράφεται κατανάλωση για το είδος αυτό από 1/5 έως και 14/10 κάθε έτους.","Ο συντελεστής ΕΦΚ στο Υγραέριο διαμορφώνεται σε 430 €/1.000 κγρ, από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94).",,,,,,,,,,,,,,,,,
1-1-2025,IMERISIO_DELTIO_PANELLINIO_01_01_2025.pdf,Αθήνα,7-1-2025,502 - 07/01/2025,ΘΕΜΑ: ΚΑΘΗΜΕΡΙΝΟ ΔΕΛΤΙΟ ΕΠΙΣΚΟΠΗΣΗΣ ΤΙΜΩΝ ΥΓΡΩΝ ΚΑΥΣΙΜΩΝ,Αμόλυβδη 95 οκτ.,3.800,"1,790",Υγραέριο κίνησης (Autogas),1.037,"0,946",,,,,,,,,,,,,Η μέση τιμή πανελλαδικά σταθμίζεται με βάση τους όγκους πωλήσεων έτους 2019 ανά τύπο καυσίμου και ανά νομό.,Ο Φ.Π.Α. από 01-06-2016 ανέρχεται στο 24%.,"Ο συντελεστής ΕΦΚ σε βενζίνες και πετρέλαια διαμορφώνεται σε 700 και 410 €/1.000 λτ, αντίστοιχα από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94).","Για το πετρέλαιο θέρμανσης και για χρονική περίοδο από 15/10 κάθε έτους έως και την 30/4 του επομένου έτους, ορίζεται μειωμένος συντελεστής ΕΦΚ ύψους 280 €/1.000 λτ, αρχής γενομένης από 15/10/2016 (Ν. 4389/2016, ΦΕΚ Α' 94). Για το λόγο αυτό δεν καταγράφεται κατανάλωση για το είδος αυτό από 1/5 έως και 14/10 κάθε έτους.","Ο συντελεστής ΕΦΚ στο Υγραέριο διαμορφώνεται σε 430 €/1.000 κγρ, από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94).",,,,,,,,,,,,,,,,,
1-1-2026,IMERISIO_DELTIO_PANELLINIO_01_01_2026.pdf,Αθήνα,2-1-2026,97,ΘΕΜΑ: ΚΑΘΗΜΕΡΙΝΟ ΔΕΛΤΙΟ ΕΠΙΣΚΟΠΗΣΗΣ ΤΙΜΩΝ ΥΓΡΩΝ ΚΑΥΣΙΜΩΝ,Αμόλυβδη 95 οκτ.,4.092,"1,717",Υγραέριο κίνησης (Autogas),980,"0,988",,,,,,,,,,,,,Η μέση τιμή πανελλαδικά σταθμίζεται με βάση τους όγκους πωλήσεων έτους 2019 ανά τύπο καυσίμου και ανά νομό.,Ο Φ.Π.Α. από 01-06-2016 ανέρχεται στο 24%.,"Ο συντελεστής ΕΦΚ σε βενζίνες και πετρέλαια διαμορφώνεται σε 700 και 410 €/1.000 λτ, αντίστοιχα από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94).","Για το πετρέλαιο θέρμανσης και για χρονική περίοδο από 15/10 κάθε έτους έως και την 30/4 του επομένου έτους, ορίζεται μειωμένος συντελεστής ΕΦΚ ύψους 280 €/1.000 λτ, αρχής γενομένης από 15/10/2016 (Ν. 4389/2016, ΦΕΚ Α' 94). Για το λόγο αυτό δεν καταγράφεται κατανάλωση για το είδος αυτό από 1/5 έως και 14/10 κάθε έτους.","Ο συντελεστής ΕΦΚ στο Υγραέριο διαμορφώνεται σε 430 €/1.000 κγρ, από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94).",,,,,,,,,,,,,,,,,
1-2-2018,IMERISIO_DELTIO_PANELLINIO_01_02_2018.pdf,Αθήνα,2-2-2018,13423 - 02/02/2018,ΘΕΜΑ: ΚΑΘΗΜΕΡΙΝΟ ΔΕΛΣΙΟ ΕΠΙ΢ΚΟΠΗ΢Η΢ ΣΙΜΩΝ ΤΓΡΩΝ ΚΑΤ΢ΙΜΩΝ,Αμόλυβδθ 95 οκτ.,3.042,"1,553",Αμόλυβδθ 100 οκτ.,1.739,"1,746",Super,31,"1,635",Diesel Κίνθςθσ,3.169,"1,327",Diesel Θζρμανςθσ Κατ΄οίκον,956,"1,017",Υγραζριο κίνθςθσ (Autogas),598,"0,829",Η μζςθ τιμι πανελλαδικά υπολογίηεται ςφμφωνα με τον ςτακμιςμζνο μζςο όρο με βάςθ τουσ όγκουσ πωλιςεων ανά τφπο καυςίμου ανά νομό.,Δεν καταγράφεται κατανάλωςθ ςτο πετρζλαιο κζρμανςθσ για τθ χρονικι περίοδο 30/4 ζωσ 15/10 κάκε ζτουσ.,Ο Φ.Π.Α. από 01-06-2016 ανζρχεται ςτο 24%,Ο ΕΦΚ ςτο πετρζλαιο κζρμανςθσ από 15/10/2016 ζωσ 30-04-2017 ανζρχεται ςε 280 € το χιλιόλιτρο,"Ο ΕΦΚ ςε βενηίνεσ και Πετρζλαια διαμορφώνεται ςε 700, 410 €/1000 λτ, αντίςτοιχα από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94)","Ο ΕΦΚ ςτο Υγραζριο διαμορφώνεται ςε 430 €/1000 κγρ, από 01/01/2017 (Ν. 4389/2016, ΦΕΚ Α' 94)",,,,,,,,,,,,,,,,
